"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 05 12:00:03 GMT 2022","Thu May 05 12:00:04 GMT 2022","840","chromium","example.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Thu May 05 12:00:14 GMT 2022","Thu May 05 12:00:15 GMT 2022","1333","chromium","example.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Thu May 05 12:00:10 GMT 2022","Thu May 05 12:00:11 GMT 2022","1319","chromium","example.spec.ts","Routing","","","should respect the back button",""
"passed","Thu May 05 11:59:58 GMT 2022","Thu May 05 11:59:59 GMT 2022","904","chromium","example.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Thu May 05 12:00:11 GMT 2022","Thu May 05 12:00:13 GMT 2022","1295","chromium","example.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Thu May 05 12:00:13 GMT 2022","Thu May 05 12:00:14 GMT 2022","1112","chromium","example.spec.ts","Routing","","","should allow me to display all items",""
"passed","Thu May 05 11:59:50 GMT 2022","Thu May 05 11:59:51 GMT 2022","635","chromium","example.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Thu May 05 11:59:52 GMT 2022","Thu May 05 11:59:52 GMT 2022","706","chromium","example.spec.ts","New Todo","","","should show #main and #footer when items added",""
"passed","Thu May 05 11:59:57 GMT 2022","Thu May 05 11:59:58 GMT 2022","943","chromium","example.spec.ts","Item","","","should allow me to edit an item",""
"passed","Thu May 05 12:00:08 GMT 2022","Thu May 05 12:00:09 GMT 2022","1144","chromium","example.spec.ts","Persistence","","","should persist its data",""
"passed","Thu May 05 11:59:53 GMT 2022","Thu May 05 11:59:54 GMT 2022","977","chromium","example.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu May 05 11:59:54 GMT 2022","Thu May 05 11:59:55 GMT 2022","1170","chromium","example.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu May 05 11:59:52 GMT 2022","Thu May 05 11:59:53 GMT 2022","964","chromium","example.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Thu May 05 12:00:09 GMT 2022","Thu May 05 12:00:10 GMT 2022","1215","chromium","example.spec.ts","Routing","","","should allow me to display active items",""
"passed","Thu May 05 11:59:55 GMT 2022","Thu May 05 11:59:56 GMT 2022","944","chromium","example.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Thu May 05 12:00:01 GMT 2022","Thu May 05 12:00:02 GMT 2022","1028","chromium","example.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu May 05 12:00:00 GMT 2022","Thu May 05 12:00:01 GMT 2022","1174","chromium","example.spec.ts","Editing","","","should trim entered text",""
"passed","Thu May 05 11:59:48 GMT 2022","Thu May 05 11:59:50 GMT 2022","2012","chromium","example.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Thu May 05 11:59:59 GMT 2022","Thu May 05 12:00:00 GMT 2022","938","chromium","example.spec.ts","Editing","","","should save edits on blur",""
"passed","Thu May 05 12:00:04 GMT 2022","Thu May 05 12:00:05 GMT 2022","1130","chromium","example.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Thu May 05 12:00:02 GMT 2022","Thu May 05 12:00:03 GMT 2022","1182","chromium","example.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Thu May 05 12:00:07 GMT 2022","Thu May 05 12:00:08 GMT 2022","1027","chromium","example.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu May 05 11:59:51 GMT 2022","Thu May 05 11:59:52 GMT 2022","845","chromium","example.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu May 05 12:00:05 GMT 2022","Thu May 05 12:00:07 GMT 2022","1054","chromium","example.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Thu May 05 11:59:56 GMT 2022","Thu May 05 11:59:57 GMT 2022","1027","chromium","example.spec.ts","Item","","","should allow me to un-mark items as complete",""
